date,power
05-08-18 14:30,472835.75
05-08-18 14:45,477216
05-08-18 15:00,437205.6
05-08-18 15:15,435846
05-08-18 15:30,429442.7
05-08-18 15:45,396004.06
05-08-18 16:00,401544.9
05-08-18 16:15,350563.5
05-08-18 16:30,354670.28
05-08-18 16:45,338995.06
05-08-18 17:00,325999.62
05-08-18 17:15,323587.7
05-08-18 17:30,342055.56
05-08-18 17:45,323976.06
05-08-18 18:00,307773.5
05-08-18 18:15,338377.4
05-08-18 18:30,325005.38
05-08-18 18:45,308622.16
05-08-18 19:00,299261.94
05-08-18 19:15,268607.7
05-08-18 19:30,283375.75
05-08-18 19:45,271825.84
05-08-18 20:00,260366.48
05-08-18 20:15,260373.67
05-08-18 20:30,248959.5
05-08-18 20:45,255789.11
05-08-18 21:00,241691.73
05-08-18 21:15,226067.02
05-08-18 21:30,263782.12
05-08-18 21:45,245160.3
05-08-18 22:00,245804.06
05-08-18 22:15,235963.7
05-08-18 22:30,227479.94
05-08-18 22:45,237425.56
05-08-18 23:00,199172.47
05-08-18 23:15,201387
05-08-18 23:30,206054.05
05-08-18 23:45,208654.66
06-08-18 0:00,217161.56
06-08-18 0:15,205609
06-08-18 0:30,212590.11
06-08-18 0:45,189718.83
06-08-18 1:00,203021.89
06-08-18 1:15,202633.53
06-08-18 1:30,190084.27
06-08-18 1:45,202464.08
06-08-18 2:00,199606.73
06-08-18 2:15,200214.2
06-08-18 2:30,203798.67
06-08-18 2:45,217118.53
06-08-18 3:00,212634.53
06-08-18 3:15,217055.27
06-08-18 3:30,213878.06
06-08-18 3:45,209782.81
06-08-18 4:00,221962.33
06-08-18 4:15,224536.02
06-08-18 4:30,223440.05
06-08-18 4:45,211422.44
06-08-18 5:00,238360.61
06-08-18 5:15,229137.66
06-08-18 5:30,232217.16
06-08-18 5:45,220752.34
06-08-18 6:00,425544.22
06-08-18 6:15,418500.84
06-08-18 6:30,420402.66
06-08-18 6:45,383163.78
06-08-18 7:00,425842.03
06-08-18 7:15,457784.8
06-08-18 7:30,457091
06-08-18 7:45,502306.1
06-08-18 8:00,493894.72
06-08-18 8:15,517316.44
06-08-18 8:30,471579.8
06-08-18 8:45,495717.2
06-08-18 9:00,574141.44
06-08-18 9:15,536590.94
06-08-18 9:30,600103.2
06-08-18 9:45,590018.75
06-08-18 10:00,596101.94
06-08-18 10:15,621018.25
06-08-18 10:30,550868.6
